sku,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
ZW-TEE-001,4913,4896,4933,5421,4923,4101,5199,4839,4869,5069,5139,5698
ZW-TEE-002,1258,1050,725,619,1102,1510,1024,967,1211,451,888,1195
ZW-TEE-003,285,251,270,266,283,224,276,212,177,240,230,286
ZW-DEN-001,1766,1395,1801,1438,1618,1577,1657,1795,1760,1703,1762,1728
ZW-DEN-002,472,451,509,737,561,1170,427,361,801,955,739,817
ZW-DEN-003,149,66,0,43,122,0,73,85,54,110,102,196
ZW-SAS-001,82,52,53,46,92,53,66,87,49,60,20,40
ZW-SAS-002,671,757,825,720,744,736,815,799,745,634,800,754
ZW-SAS-003,58,30,76,23,68,33,19,5,27,64,50,47
ZW-VES-001,1,197,182,76,68,128,295,27,87,260,86,93
ZW-VES-002,494,252,516,257,636,477,889,527,723,240,454,535
ZW-VES-003,119,0,90,75,112,80,54,32,3,60,44,131
ZW-ACC-001,231,258,202,237,256,273,292,247,215,262,264,263
ZW-ACC-002,61,117,84,103,121,101,91,148,89,72,85,128
ZW-ACC-003,171,219,299,97,0,193,185,86,261,230,40,219
ZW-PUN-001,118,55,149,125,91,152,151,99,146,176,93,145
ZW-PUN-002,51,139,0,78,40,47,125,51,138,34,65,32
ZW-CAZ-001,52,71,62,75,14,123,65,116,43,78,154,47
ZW-CAZ-002,0,32,73,82,106,43,0,36,104,72,0,52
ZW-ACC-004,385,414,352,342,281,297,332,350,353,311,284,299
