sku,clase_abc,cv,clase_xyz,celda
ZW-TEE-001,A,0.07321689240423505,X,AX
ZW-DEN-001,A,0.07820294112116244,X,AX
ZW-SAS-002,A,0.07269418439218123,X,AX
ZW-TEE-002,A,0.28262312950877416,Y,AY
ZW-VES-002,A,0.3708503741402993,Y,AY
ZW-DEN-002,A,0.3514101947866624,Y,AY
ZW-ACC-004,B,0.11759039076387152,X,BX
ZW-VES-001,B,0.6935358678539993,Z,BZ
ZW-ACC-001,B,0.09640193635676274,X,BX
ZW-SAS-001,B,0.33993997069110504,Y,BY
ZW-TEE-003,B,0.13110809789381178,X,BX
ZW-VES-003,B,0.6145526828515192,Z,BZ
ZW-CAZ-002,B,0.733984559328964,Z,BZ
ZW-CAZ-001,B,0.49558046773455466,Y,BY
ZW-PUN-001,C,0.2656112447418846,Y,CY
ZW-ACC-002,C,0.2383275057562597,X,CX
ZW-ACC-003,C,0.5257299687101735,Z,CZ
ZW-PUN-002,C,0.6445444127443818,Z,CZ
ZW-DEN-003,C,0.6604241061620933,Z,CZ
ZW-SAS-003,C,0.5076376660571987,Z,CZ
