sku,rotacion_anual,dias_rotura_stock_2026,estado,motivo
ZW-TEE-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-TEE-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-TEE-003,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-DEN-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-DEN-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-DEN-003,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-SAS-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-SAS-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-SAS-003,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-VES-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-VES-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-VES-003,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-ACC-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-ACC-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-ACC-003,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-PUN-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-PUN-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-CAZ-001,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-CAZ-002,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
ZW-ACC-004,,,NO_CALCULABLE,Falta stock medio anual; falta histórico diario completo de 2026 por SKU
