date,sales,price,promo_flag,holiday_flag,stockout_flag
2026-09-01,45,19.95,0,0,0
2026-09-02,44,19.95,0,0,0
2026-09-03,45,19.95,0,0,0
2026-09-04,51,19.95,0,0,0
2026-09-05,36,19.95,0,0,0
2026-09-06,47,19.95,0,0,0
2026-09-07,42,19.95,0,0,0
2026-09-08,43,19.95,0,0,0
2026-09-09,36,19.95,0,0,0
2026-09-10,37,19.95,0,0,0
2026-09-11,49,19.95,0,0,0
2026-09-12,71,19.95,0,1,0
2026-09-13,37,19.95,0,0,0
2026-09-14,36,19.95,0,0,0
2026-09-15,40,19.95,0,0,0
2026-09-16,50,19.95,0,0,0
2026-09-17,51,19.95,0,0,0
2026-09-18,44,19.95,0,0,0
2026-09-19,45,19.95,0,0,0
2026-09-20,42,19.95,0,0,0
2026-09-21,71,15.95,1,0,0
2026-09-22,62,15.95,1,0,0
2026-09-23,68,15.95,1,0,0
2026-09-24,78,15.95,1,0,0
2026-09-25,46,19.95,0,0,0
2026-09-26,51,19.95,0,0,0
2026-09-27,41,19.95,0,0,0
2026-09-28,34,19.95,0,0,0
2026-09-29,40,19.95,0,0,0
2026-09-30,35,19.95,0,0,0
2026-10-01,17,19.95,0,0,1
2026-10-02,15,19.95,0,0,1
2026-10-03,58,19.95,0,0,0
2026-10-04,43,19.95,0,0,0
2026-10-05,35,19.95,0,0,0
2026-10-06,39,19.95,0,0,0
2026-10-07,46,19.95,0,0,0
2026-10-08,40,19.95,0,0,0
2026-10-09,38,19.95,0,0,0
2026-10-10,45,19.95,0,0,0
2026-10-11,60,19.95,0,1,0
2026-10-12,63,19.95,0,1,0
2026-10-13,43,19.95,0,0,0
2026-10-14,32,19.95,0,0,0
2026-10-15,40,19.95,0,0,0
2026-10-16,41,19.95,0,0,0
2026-10-17,55,19.95,0,0,0
2026-10-18,42,19.95,0,0,0
2026-10-19,45,19.95,0,0,0
2026-10-20,41,19.95,0,0,0
2026-10-21,35,19.95,0,0,0
2026-10-22,35,19.95,0,0,0
2026-10-23,52,19.95,0,0,0
2026-10-24,51,19.95,0,0,0
2026-10-25,34,19.95,0,0,0
2026-10-26,61,15.95,1,0,0
2026-10-27,71,15.95,1,0,0
2026-10-28,74,15.95,1,0,0
2026-10-29,87,15.95,1,0,0
2026-10-30,52,19.95,0,0,0
2026-10-31,44,19.95,0,0,0
2026-11-01,35,19.95,0,0,0
2026-11-02,29,19.95,0,0,0
2026-11-03,40,19.95,0,0,0
2026-11-04,29,19.95,0,0,0
2026-11-05,43,19.95,0,0,0
2026-11-06,46,19.95,0,0,0
2026-11-07,53,19.95,0,0,0
2026-11-08,36,19.95,0,0,0
2026-11-09,41,19.95,0,0,0
2026-11-10,49,19.95,0,0,0
2026-11-11,41,19.95,0,0,0
2026-11-12,39,19.95,0,0,0
2026-11-13,91,19.95,0,1,0
2026-11-14,46,19.95,0,0,0
2026-11-15,38,19.95,0,0,0
2026-11-16,34,19.95,0,0,0
2026-11-17,47,19.95,0,0,0
2026-11-18,41,19.95,0,0,0
2026-11-19,50,19.95,0,0,0
2026-11-20,47,19.95,0,0,0
2026-11-21,57,19.95,0,0,0
2026-11-22,37,19.95,0,0,0
2026-11-23,34,19.95,0,0,0
2026-11-24,19,19.95,0,0,1
2026-11-25,37,19.95,0,0,0
2026-11-26,27,19.95,0,0,0
2026-11-27,58,19.95,0,0,0
2026-11-28,51,19.95,0,0,0
2026-11-29,48,19.95,0,0,0
2026-11-30,33,19.95,0,0,0
2026-12-01,45,19.95,0,0,0
2026-12-02,47,19.95,0,0,0
2026-12-03,33,19.95,0,0,0
2026-12-04,39,19.95,0,0,0
2026-12-05,52,19.95,0,0,0
2026-12-06,46,19.95,0,0,0
2026-12-07,30,19.95,0,0,0
2026-12-08,45,19.95,0,0,0
2026-12-09,47,19.95,0,0,0
2026-12-10,75,15.95,1,0,0
2026-12-11,102,15.95,1,0,0
2026-12-12,111,15.95,1,1,0
2026-12-13,65,15.95,1,0,0
2026-12-14,40,19.95,0,0,0
2026-12-15,45,19.95,0,0,0
2026-12-16,39,19.95,0,0,0
2026-12-17,51,19.95,0,0,0
2026-12-18,55,19.95,0,0,0
2026-12-19,53,19.95,0,0,0
2026-12-20,46,19.95,0,0,0
2026-12-21,43,19.95,0,0,0
2026-12-22,40,19.95,0,0,0
2026-12-23,37,19.95,0,0,0
2026-12-24,34,19.95,0,0,0
2026-12-25,56,19.95,0,0,0
2026-12-26,44,19.95,0,0,0
2026-12-27,51,19.95,0,0,0
2026-12-28,37,19.95,0,0,0
2026-12-29,39,19.95,0,0,0
