sku,margen_anual,pct_acumulado,clase_abc
ZW-TEE-001,411000.00,24.71,A
ZW-DEN-001,369000.00,46.90,A
ZW-SAS-002,223650.00,60.35,A
ZW-TEE-002,150600.00,69.40,A
ZW-VES-002,118500.00,76.53,A
ZW-DEN-002,43600.00,79.15,A
ZW-ACC-004,40600.00,81.59,B
ZW-VES-001,39525.00,83.96,B
ZW-ACC-001,33150.00,85.96,B
ZW-SAS-001,26285.00,87.54,B
ZW-TEE-003,26250.00,89.12,B
ZW-VES-003,25720.00,90.66,B
ZW-CAZ-002,25470.00,92.19,B
ZW-CAZ-001,25245.00,93.71,B
ZW-PUN-001,24975.00,95.21,C
ZW-ACC-002,20700.00,96.46,C
ZW-ACC-003,19100.00,97.61,C
ZW-PUN-002,16680.00,98.61,C
ZW-DEN-003,14050.00,99.45,C
ZW-SAS-003,9075.00,100.00,C
