sku,clase_abc,cv,clase_xyz,celda
ZW-TEE-001,A,0.0732,X,AX
ZW-DEN-001,A,0.0782,X,AX
ZW-SAS-002,A,0.0727,X,AX
ZW-TEE-002,A,0.2826,Y,AY
ZW-VES-002,A,0.3709,Y,AY
ZW-DEN-002,A,0.3514,Y,AY
ZW-ACC-004,B,0.1176,X,BX
ZW-VES-001,B,0.6935,Z,BZ
ZW-ACC-001,B,0.0964,X,BX
ZW-SAS-001,B,0.3399,Y,BY
ZW-TEE-003,B,0.1311,X,BX
ZW-VES-003,B,0.6146,Z,BZ
ZW-CAZ-002,B,0.7340,Z,BZ
ZW-CAZ-001,B,0.4956,Y,BY
ZW-PUN-001,C,0.2656,Y,CY
ZW-ACC-002,C,0.2383,X,CX
ZW-ACC-003,C,0.5257,Z,CZ
ZW-PUN-002,C,0.6445,Z,CZ
ZW-DEN-003,C,0.6604,Z,CZ
ZW-SAS-003,C,0.5076,Z,CZ
