sku,media_mensual,desv_tipica,cv,clase_xyz
ZW-TEE-001,5000.00,366.08,0.0732,X
ZW-TEE-002,1000.00,282.62,0.2826,Y
ZW-TEE-003,250.00,32.78,0.1311,X
ZW-DEN-001,1666.67,130.34,0.0782,X
ZW-DEN-002,666.67,234.27,0.3514,Y
ZW-DEN-003,83.33,55.04,0.6604,Z
ZW-SAS-001,58.33,19.83,0.3399,Y
ZW-SAS-002,750.00,54.52,0.0727,X
ZW-SAS-003,41.67,21.15,0.5076,Z
ZW-VES-001,125.00,86.69,0.6935,Z
ZW-VES-002,500.00,185.43,0.3709,Y
ZW-VES-003,66.67,40.97,0.6146,Z
ZW-ACC-001,250.00,24.10,0.0964,X
ZW-ACC-002,100.00,23.83,0.2383,X
ZW-ACC-003,166.67,87.62,0.5257,Z
ZW-PUN-001,125.00,33.20,0.2656,Y
ZW-PUN-002,66.67,42.97,0.6445,Z
ZW-CAZ-001,75.00,37.17,0.4956,Y
ZW-CAZ-002,50.00,36.70,0.7340,Z
ZW-ACC-004,333.33,39.20,0.1176,X
